pt,p_throws,delta_3b_in,d_stuff,n
FS,R,16,0.0258295029418743,6921
ST,R,16,2.15791932841325,12577
CU,L,16,0.313756102356097,4418
SI,L,16,0.334990046853521,11579
ST,L,16,0.228412809680717,4904
FF,L,16,0.0975130026735791,21223
CH,L,16,1.962578739871,9928
SL,L,16,-1.16194392161279,8724
FC,L,16,-0.514758997417078,4405
FS,L,16,1.99572610847069,781
SI,R,15,-0.100130851150431,25818
FC,R,15,1.08973201690684,13054
SL,R,15,2.30234861327275,20362
CU,R,15,3.49029560454418,11619
FF,R,15,0.0252070969840921,52611
CH,R,15,-0.396071012344478,16724
FS,R,15,-0.00989006339907779,6921
ST,R,15,1.88620859783802,12577
CU,L,15,0.382283845509482,4418
SI,L,15,0.299351831212507,11579
ST,L,15,0.387019267953643,4904
FF,L,15,0.0829968275651979,21223
CH,L,15,1.8095160054197,9928
SL,L,15,-1.0630841774622,8724
FC,L,15,-0.481706887306164,4405
FS,L,15,1.80517109983308,781
SI,R,14,-0.108892896467994,25818
FC,R,14,0.905999102052092,13054
SL,R,14,1.98530212625867,20362
CU,R,14,3.05382055577957,11619
FF,R,14,0.0106318002468405,52611
CH,R,14,-0.408108491176784,16724
FS,R,14,-0.0360673023372116,6921
ST,R,14,1.64767788461283,12577
CU,L,14,0.483347063355586,4418
SI,L,14,0.266373839306332,11579
ST,L,14,0.520015413070493,4904
FF,L,14,0.0708251000386606,21223
CH,L,14,1.66799626508153,9928
SL,L,14,-0.978847494012788,8724
FC,L,14,-0.444195136078662,4405
FS,L,14,1.63180076234109,781
SI,R,13,-0.114370892751782,25818
FC,R,13,0.766562480746842,13054
SL,R,13,1.76742242486069,20362
CU,R,13,2.67822120779136,11619
FF,R,13,0.00202262377103943,52611
CH,R,13,-0.411366289797361,16724
FS,R,13,-0.0554494755184968,6921
ST,R,13,1.50554271205014,12577
CU,L,13,0.587569002191111,4418
SI,L,13,0.239354988226357,11579
ST,L,13,0.634329964301773,4904
FF,L,13,0.0616801452399564,21223
CH,L,13,1.53123199855135,9928
SL,L,13,-0.882488172050167,8724
FC,L,13,-0.419669203696539,4405
FS,L,13,1.48077397014626,781
SI,R,12,-0.116794065645457,25818
FC,R,12,0.608167308197082,13054
SL,R,12,1.50296372774375,20362
CU,R,12,2.33234500326418,11619
FF,R,12,-0.00567970336870614,52611
CH,R,12,-0.412121099066491,16724
FS,R,12,-0.0743341053206251,6921
ST,R,12,1.34485744632021,12577
CU,L,12,0.687332715428182,4418
SI,L,12,0.211561178455976,11579
ST,L,12,0.767968885222478,4904
FF,L,12,0.0534253947570719,21223
CH,L,12,1.39057429558738,9928
SL,L,12,-0.784273659554979,8724
FC,L,12,-0.394557971353605,4405
FS,L,12,1.34968707963948,781
SI,R,11,-0.119558015345726,25818
FC,R,11,0.481339101970677,13054
SL,R,11,1.25573154485224,20362
CU,R,11,2.04033190903351,11619
FF,R,11,-0.010740677116114,52611
CH,R,11,-0.404728599919518,16724
FS,R,11,-0.0970989810472846,6921
ST,R,11,1.1239920294859,12577
CU,L,11,0.773760560136168,4418
SI,L,11,0.184345906621981,11579
ST,L,11,0.937111159214649,4904
FF,L,11,0.0465827048204847,21223
CH,L,11,1.25621649974729,9928
SL,L,11,-0.68075680983867,8724
FC,L,11,-0.361119323291955,4405
FS,L,11,1.24841510377313,781
SI,R,10,-0.117468298506744,25818
FC,R,10,0.414391976033765,13054
SL,R,10,1.10577862693408,20362
CU,R,10,1.81328692497443,11619
FF,R,10,-0.0133441941716154,52611
CH,R,10,-0.386945469760953,16724
FS,R,10,-0.102009259348021,6921
ST,R,10,1.00279465990644,12577
CU,L,10,0.861167136998119,4418
SI,L,10,0.16246765440174,11579
ST,L,10,1.11357728978767,4904
FF,L,10,0.0398574907879163,21223
CH,L,10,1.13213587977235,9928
SL,L,10,-0.604180441945038,8724
FC,L,10,-0.328313456157842,4405
FS,L,10,1.08347275009307,781
SI,R,9,-0.114151510708092,25818
FC,R,9,0.335470939326625,13054
SL,R,9,0.943191027870255,20362
CU,R,9,1.53622921005732,11619
FF,R,9,-0.0166694258686149,52611
CH,R,9,-0.373385749255172,16724
FS,R,9,-0.120762136720115,6921
ST,R,9,0.867605176078634,12577
CU,L,9,0.955759241097024,4418
SI,L,9,0.13732968611751,11579
ST,L,9,1.26962168653196,4904
FF,L,9,0.0331806364241903,21223
CH,L,9,1.00812912274398,9928
SL,L,9,-0.474083391063031,8724
FC,L,9,-0.279938145396179,4405
FS,L,9,0.91407322301652,781
SI,R,8,-0.108456658793953,25818
FC,R,8,0.270600827970331,13054
SL,R,8,0.821709695871735,20362
CU,R,8,1.27222017513617,11619
FF,R,8,-0.0179682513154677,52611
CH,R,8,-0.350188524968522,16724
FS,R,8,-0.129308219345491,6921
ST,R,8,0.712630078028095,12577
CU,L,8,1.0579399929519,4418
SI,L,8,0.112189606454942,11579
ST,L,8,1.38367765888308,4904
FF,L,8,0.0268794824154507,21223
CH,L,8,0.901561256047283,9928
SL,L,8,-0.340391497024323,8724
FC,L,8,-0.230365841815239,4405
FS,L,8,0.745686045011171,781
SI,R,7,-0.0989929385745248,25818
FC,R,7,0.252205468597402,13054
SL,R,7,0.759277556474734,20362
CU,R,7,1.12619629272814,11619
FF,R,7,-0.0147408563705039,52611
CH,R,7,-0.320656443342693,16724
FS,R,7,-0.100083005651299,6921
ST,R,7,0.644417906870883,12577
CU,L,7,1.05106948739355,4418
SI,L,7,0.095276818074378,11579
ST,L,7,1.39934157782795,4904
FF,L,7,0.0239402267213211,21223
CH,L,7,0.805077382695012,9928
SL,L,7,-0.231630035274156,8724
FC,L,7,-0.17250477532716,4405
FS,L,7,0.590846172932892,781
SI,R,6,-0.0843388038825136,25818
FC,R,6,0.206660797076615,13054
SL,R,6,0.648983147719521,20362
CU,R,6,0.865123305500681,11619
FF,R,6,-0.0129316792930757,52611
CH,R,6,-0.272468300590519,16724
FS,R,6,-0.0703195341349222,6921
ST,R,6,0.48215179516894,12577
CU,L,6,0.857382451734317,4418
SI,L,6,0.0831077003528608,11579
ST,L,6,1.4176151819466,4904
FF,L,6,0.0247958187661828,21223
CH,L,6,0.688500369892082,9928
SL,L,6,-0.137091837553778,8724
FC,L,6,-0.103154817090549,4405
FS,L,6,0.481000903317986,781
SI,R,5,-0.0668658014113897,25818
FC,R,5,0.151019939819561,13054
SL,R,5,0.547483026876887,20362
CU,R,5,0.657518624479798,11619
FF,R,5,-0.0112810283758693,52611
CH,R,5,-0.215895313865159,16724
FS,R,5,-0.0442763221060316,6921
ST,R,5,0.324561654416579,12577
CU,L,5,0.575987255276649,4418
SI,L,5,0.0708698207914006,11579
ST,L,5,1.34227636331073,4904
FF,L,5,0.0237688176706887,21223
CH,L,5,0.558022324201447,9928
SL,L,5,-0.0895022587481065,8724
FC,L,5,-0.0495430364525977,4405
FS,L,5,0.404385141092616,781
SI,R,4,-0.0519922544015596,25818
FC,R,4,0.14012137196351,13054
SL,R,4,0.49365774010641,20362
CU,R,4,0.602486519063124,11619
FF,R,4,-0.00784640458205229,52611
CH,R,4,-0.160457095726402,16724
FS,R,4,0.000944401609202707,6921
ST,R,4,0.38330601034713,12577
CU,L,4,0.342931111893971,4418
SI,L,4,0.0573489688510634,11579
ST,L,4,1.10058329666292,4904
FF,L,4,0.0183946866390997,21223
CH,L,4,0.454455973511408,9928
SL,L,4,-0.113113718660175,8724
FC,L,4,-0.063809506049067,4405
FS,L,4,0.34609801106452,781
SI,R,3,-0.0365758997874564,25818
FC,R,3,0.094299317168426,13054
SL,R,3,0.385721259330143,20362
CU,R,3,0.470675501727371,11619
FF,R,3,-0.00605617615468304,52611
CH,R,3,-0.115368312068971,16724
FS,R,3,0.0100743686010953,6921
